id,name,acronym,parent_structure_id,parent_name,graph_order,st_level,depth
1089,Hippocampal formation,HPF,695,Cortical plate,454,5,
1080,Hippocampal region,HIP,1089,Hippocampal formation,455,6,
375,Ammon's horn,CA,1080,Hippocampal region,456,8,
382,Field CA1,CA1,375,Ammon's horn,457,9,
391,"Field CA1, stratum lacunosum-moleculare",CA1slm,382,Field CA1,458,11,
399,"Field CA1, stratum oriens",CA1so,382,Field CA1,459,11,
407,"Field CA1, pyramidal layer",CA1sp,382,Field CA1,460,11,
415,"Field CA1, stratum radiatum",CA1sr,382,Field CA1,461,11,
423,Field CA2,CA2,375,Ammon's horn,462,9,
431,"Field CA2, stratum lacunosum-moleculare",CA2slm,423,Field CA2,463,11,
438,"Field CA2, stratum oriens",CA2so,423,Field CA2,464,11,
446,"Field CA2, pyramidal layer",CA2sp,423,Field CA2,465,11,
454,"Field CA2, stratum radiatum",CA2sr,423,Field CA2,466,11,
463,Field CA3,CA3,375,Ammon's horn,467,9,
471,"Field CA3, stratum lacunosum-moleculare",CA3slm,463,Field CA3,468,11,
479,"Field CA3, stratum lucidum",CA3slu,463,Field CA3,469,11,
486,"Field CA3, stratum oriens",CA3so,463,Field CA3,470,11,
495,"Field CA3, pyramidal layer",CA3sp,463,Field CA3,471,11,
504,"Field CA3, stratum radiatum",CA3sr,463,Field CA3,472,11,
726,Dentate gyrus,DG,1080,Hippocampal region,473,8,
10703,"Dentate gyrus, molecular layer",DG-mo,726,Dentate gyrus,474,11,
10704,"Dentate gyrus, polymorph layer",DG-po,726,Dentate gyrus,475,11,
632,"Dentate gyrus, granule cell layer",DG-sg,726,Dentate gyrus,476,11,
10702,"Dentate gyrus, subgranular zone",DG-sgz,726,Dentate gyrus,477,11,
734,Dentate gyrus crest,DGcr,726,Dentate gyrus,478,9,
742,"Dentate gyrus crest, molecular layer",DGcr-mo,734,Dentate gyrus crest,479,11,
751,"Dentate gyrus crest, polymorph layer",DGcr-po,734,Dentate gyrus crest,480,11,
758,"Dentate gyrus crest, granule cell layer",DGcr-sg,734,Dentate gyrus crest,481,11,
766,Dentate gyrus lateral blade,DGlb,726,Dentate gyrus,482,9,
775,"Dentate gyrus lateral blade, molecular layer",DGlb-mo,766,Dentate gyrus lateral blade,483,11,
782,"Dentate gyrus lateral blade, polymorph layer",DGlb-po,766,Dentate gyrus lateral blade,484,11,
790,"Dentate gyrus lateral blade, granule cell layer",DGlb-sg,766,Dentate gyrus lateral blade,485,11,
799,Dentate gyrus medial blade,DGmb,726,Dentate gyrus,486,9,
807,"Dentate gyrus medial blade, molecular layer",DGmb-mo,799,Dentate gyrus medial blade,487,11,
815,"Dentate gyrus medial blade, polymorph layer",DGmb-po,799,Dentate gyrus medial blade,488,11,
823,"Dentate gyrus medial blade, granule cell layer",DGmb-sg,799,Dentate gyrus medial blade,489,11,
982,Fasciola cinerea,FC,1080,Hippocampal region,490,8,
19,Induseum griseum,IG,1080,Hippocampal region,491,8,
822,Retrohippocampal region,RHP,1089,Hippocampal formation,492,6,
909,Entorhinal area,ENT,822,Retrohippocampal region,493,8,
918,"Entorhinal area, lateral part",ENTl,909,Entorhinal area,494,9,
1121,"Entorhinal area, lateral part, layer 1",ENTl1,918,"Entorhinal area, lateral part",495,11,
20,"Entorhinal area, lateral part, layer 2",ENTl2,918,"Entorhinal area, lateral part",496,11,
999,"Entorhinal area, lateral part, layer 2/3",ENTl2/3,918,"Entorhinal area, lateral part",497,11,
715,"Entorhinal area, lateral part, layer 2a",ENTl2a,918,"Entorhinal area, lateral part",498,11,
764,"Entorhinal area, lateral part, layer 2b",ENTl2b,918,"Entorhinal area, lateral part",499,11,
52,"Entorhinal area, lateral part, layer 3",ENTl3,918,"Entorhinal area, lateral part",500,11,
92,"Entorhinal area, lateral part, layer 4",ENTl4,918,"Entorhinal area, lateral part",501,11,
312,"Entorhinal area, lateral part, layer 4/5",ENTl4/5,918,"Entorhinal area, lateral part",502,11,
139,"Entorhinal area, lateral part, layer 5",ENTl5,918,"Entorhinal area, lateral part",503,11,
387,"Entorhinal area, lateral part, layer 5/6",ENTl5/6,918,"Entorhinal area, lateral part",504,11,
28,"Entorhinal area, lateral part, layer 6a",ENTl6a,918,"Entorhinal area, lateral part",505,11,
60,"Entorhinal area, lateral part, layer 6b",ENTl6b,918,"Entorhinal area, lateral part",506,11,
926,"Entorhinal area, medial part, dorsal zone",ENTm,909,Entorhinal area,507,9,
526,"Entorhinal area, medial part, dorsal zone, layer 1",ENTm1,926,"Entorhinal area, medial part, dorsal zone",508,11,
543,"Entorhinal area, medial part, dorsal zone, layer 2",ENTm2,926,"Entorhinal area, medial part, dorsal zone",509,11,
468,"Entorhinal area, medial part, dorsal zone, layer 2a",ENTm2a,926,"Entorhinal area, medial part, dorsal zone",510,11,
508,"Entorhinal area, medial part, dorsal zone, layer 2b",ENTm2b,926,"Entorhinal area, medial part, dorsal zone",511,11,
664,"Entorhinal area, medial part, dorsal zone, layer 3",ENTm3,926,"Entorhinal area, medial part, dorsal zone",512,11,
712,"Entorhinal area, medial part, dorsal zone, layer 4",ENTm4,926,"Entorhinal area, medial part, dorsal zone",513,11,
727,"Entorhinal area, medial part, dorsal zone, layer 5",ENTm5,926,"Entorhinal area, medial part, dorsal zone",514,11,
550,"Entorhinal area, medial part, dorsal zone, layer 5/6",ENTm5/6,926,"Entorhinal area, medial part, dorsal zone",515,11,
743,"Entorhinal area, medial part, dorsal zone, layer 6",ENTm6,926,"Entorhinal area, medial part, dorsal zone",516,11,
934,"Entorhinal area, medial part, ventral zone",ENTmv,909,Entorhinal area,517,9,
259,"Entorhinal area, medial part, ventral zone, layer 1",ENTmv1,934,"Entorhinal area, medial part, ventral zone",518,11,
324,"Entorhinal area, medial part, ventral zone, layer 2",ENTmv2,934,"Entorhinal area, medial part, ventral zone",519,11,
371,"Entorhinal area, medial part, ventral zone, layer 3",ENTmv3,934,"Entorhinal area, medial part, ventral zone",520,11,
419,"Entorhinal area, medial part, ventral zone, layer 4",ENTmv4,934,"Entorhinal area, medial part, ventral zone",521,11,
1133,"Entorhinal area, medial part, ventral zone, layer 5/6",ENTmv5/6,934,"Entorhinal area, medial part, ventral zone",522,11,
843,Parasubiculum,PAR,822,Retrohippocampal region,523,8,
10693,"Parasubiculum, layer 1",PAR1,843,Parasubiculum,524,11,
10694,"Parasubiculum, layer 2",PAR2,843,Parasubiculum,525,11,
10695,"Parasubiculum, layer 3",PAR3,843,Parasubiculum,526,11,
1037,Postsubiculum,POST,822,Retrohippocampal region,527,8,
10696,"Postsubiculum, layer 1",POST1,1037,Postsubiculum,528,11,
10697,"Postsubiculum, layer 2",POST2,1037,Postsubiculum,529,11,
10698,"Postsubiculum, layer 3",POST3,1037,Postsubiculum,530,11,
1084,Presubiculum,PRE,822,Retrohippocampal region,531,8,
10699,"Presubiculum, layer 1",PRE1,1084,Presubiculum,532,11,
10700,"Presubiculum, layer 2",PRE2,1084,Presubiculum,533,11,
10701,"Presubiculum, layer 3",PRE3,1084,Presubiculum,534,11,
502,Subiculum,SUB,822,Retrohippocampal region,535,8,
509,"Subiculum, dorsal part",SUBd,502,Subiculum,536,9,
829,"Subiculum, dorsal part, molecular layer",SUBd-m,509,"Subiculum, dorsal part",537,11,
845,"Subiculum, dorsal part, pyramidal layer",SUBd-sp,509,"Subiculum, dorsal part",538,11,
837,"Subiculum, dorsal part, stratum radiatum",SUBd-sr,509,"Subiculum, dorsal part",539,11,
518,"Subiculum, ventral part",SUBv,502,Subiculum,540,9,
853,"Subiculum, ventral part, molecular layer",SUBv-m,518,"Subiculum, ventral part",541,11,
870,"Subiculum, ventral part, pyramidal layer",SUBv-sp,518,"Subiculum, ventral part",542,11,
861,"Subiculum, ventral part, stratum radiatum",SUBv-sr,518,"Subiculum, ventral part",543,11,
484682470,Prosubiculum,ProS,822,Retrohippocampal region,544,8,
484682475,"Prosubiculum, dorsal part",ProSd,484682470,Prosubiculum,545,9,
484682479,"Prosubiculum, dorsal part, molecular layer",ProSd-m,484682475,"Prosubiculum, dorsal part",546,11,
484682483,"Prosubiculum, dorsal part, pyramidal layer",ProSd-sp,484682475,"Prosubiculum, dorsal part",547,11,
484682487,"Prosubiculum, dorsal part, stratum radiatum",ProSd-sr,484682475,"Prosubiculum, dorsal part",548,11,
484682492,"Prosubiculum, ventral part",ProSv,484682470,Prosubiculum,549,9,
484682496,"Prosubiculum, ventral part, molecular layer",ProSv-m,484682492,"Prosubiculum, ventral part",550,11,
484682500,"Prosubiculum, ventral part, pyramidal layer",ProSv-sp,484682492,"Prosubiculum, ventral part",551,11,
484682504,"Prosubiculum, ventral part, stratum radiatum",Prosv-sr,484682492,"Prosubiculum, ventral part",552,11,
589508447,Hippocampo-amygdalar transition area,HATA,822,Retrohippocampal region,553,8,
484682508,Area prostriata,APr,822,Retrohippocampal region,554,8,
